,FPR Asian,FNR Asian,FDR Asian,FOM Asian,EqualOppP Asian,EquOdds Asian,Accuracy Asian,Balanced Accuracy Asian,FPR Black,FNR Black,FDR Black,FOM Black,EqualOppP Black,EquOdds Black,Accuracy Black,Balanced Accuracy Black,FPR Hispanic,FNR Hispanic,FDR Hispanic,FOM Hispanic,EqualOppP Hispanic,EquOdds Hispanic,Accuracy Hispanic,Balanced Accuracy Hispanic,FPR White,FNR White,FDR White,FOM White,EqualOppP White,EquOdds White,Accuracy White,Balanced Accuracy White,Accuracy,Balanced Accuracy,AUC,f1,precision,recall,AP,AP Asian,AP Black,AP Hispanic,AP White,Model
0,0.0,0.0,0.0,0.0,0.0,-0.023255813953488372,1.0,1.0,0.07692307692307693,0.0,0.1111111111111111,0.0,0.0,0.027823240589198037,0.9523809523809523,0.9615384615384616,0.0,0.0,0.0,0.0,0.0,-0.02127659574468085,1.0,1.0,0.058823529411764705,0.0,0.3333333333333333,0.0,0.0,0.017783857729138167,0.9473684210526315,0.9705882352941176,0.9746835443037974,0.9833333333333334,0.9850877192982457,0.9500000000000001,0.9047619047619048,1.0,0.9453285127596676,1.0,0.9861111111111112,0.9999999999999998,0.8333333333333333,LogisticRegression
0,0.0,0.3333333333333333,0.0,0.05555555555555555,-0.14583333333333337,-0.09617248062015506,0.95,0.8333333333333333,0.07692307692307693,0.125,0.125,0.07692307692307693,0.1477272727272727,0.10168687695283439,0.9047619047619048,0.8990384615384616,0.07692307692307693,0.3333333333333333,0.2,0.14285714285714285,-0.17948717948717952,-0.06192034915439172,0.8421052631578947,0.7948717948717949,0.0,0.0,0.0,0.0,0.23529411764705888,0.09439124487004107,1.0,1.0,0.9240506329113924,0.8780701754385964,0.9473684210526315,0.8333333333333333,0.8823529411764706,0.7894736842105263,0.8506297560640073,1.0,0.8755456349206349,0.8422619047619047,1.0,LogisticRegression
0,0.058823529411764705,0.6666666666666666,0.5,0.1111111111111111,-0.49019607843137253,-0.2156862745098039,0.85,0.6372549019607843,0.0,0.2222222222222222,0.0,0.14285714285714285,0.0505050505050505,0.014614227380184823,0.9047619047619048,0.8888888888888888,0.0,0.16666666666666666,0.0,0.07142857142857142,0.11904761904761907,0.04865424430641823,0.9473684210526315,0.9166666666666667,0.0,0.0,0.0,0.0,0.2777777777777778,0.12698412698412698,1.0,1.0,0.9240506329113924,0.8665254237288136,0.9576271186440678,0.8333333333333334,0.9375,0.75,0.9163338744588747,0.5909090909090908,0.9500000000000002,0.976190476190476,1.0,LogisticRegression
0,0.0625,0.0,0.25,0.0,0.11764705882352944,0.06681771545827635,0.9473684210526315,0.96875,0.0,0.1111111111111111,0.0,0.07692307692307693,-0.02020202020202022,-0.042015903718031385,0.9523809523809523,0.9444444444444444,0.15384615384615385,0.16666666666666666,0.2857142857142857,0.08333333333333333,-0.09523809523809523,0.018434464086638014,0.8421052631578947,0.8397435897435898,0.0,0.0,0.0,0.0,0.11111111111111116,0.018970189701897046,1.0,1.0,0.9367088607594937,0.9245762711864407,0.952542372881356,0.8780487804878048,0.8571428571428571,0.9,0.8230507096103071,1.0,1.0000000000000002,0.6801587301587301,1.0,LogisticRegression
0,0.0625,0.5,0.5,0.0625,-0.4411764705882353,-0.2242219562243502,0.8888888888888888,0.71875,0.08333333333333333,0.125,0.125,0.08333333333333333,-0.03409090909090906,-0.00729368149580914,0.9,0.8958333333333333,0.15384615384615385,0.0,0.2222222222222222,0.0,0.16666666666666663,0.13851727982162765,0.9,0.9230769230769231,0.0,0.0,0.0,0.0,0.11764705882352944,0.010043041606886668,1.0,1.0,0.9230769230769231,0.9134701159678857,0.9857270294380018,0.8500000000000001,0.8095238095238095,0.8947368421052632,0.9619260271891847,0.75,0.9704861111111112,0.9682539682539681,1.0,LogisticRegression
0,0.058823529411764705,0.5,0.5,0.058823529411764705,-0.4411764705882353,-0.22606019151846785,0.8947368421052632,0.7205882352941176,0.07692307692307693,0.125,0.125,0.07692307692307693,-0.03409090909090906,-0.01049880970093734,0.9047619047619048,0.8990384615384616,0.07692307692307693,0.0,0.125,0.0,0.16666666666666663,0.08987997817785051,0.95,0.9615384615384616,0.058823529411764705,0.0,0.3333333333333333,0.0,0.11764705882352944,0.053351573187414514,0.9473684210526315,0.9705882352941176,0.9240506329113924,0.9140350877192982,0.9789473684210526,0.8500000000000001,0.8095238095238095,0.8947368421052632,0.9103199239972091,0.8333333333333333,0.9861111111111112,0.8736394557823128,1.0,LogisticRegression
0,0.058823529411764705,0.3333333333333333,0.3333333333333333,0.058823529411764705,-0.27083333333333337,-0.1408886228910169,0.9,0.803921568627451,0.07692307692307693,0.0,0.1111111111111111,0.0,0.18181818181818177,0.09745573575360808,0.9523809523809523,0.9615384615384616,0.15384615384615385,0.16666666666666666,0.2857142857142857,0.08333333333333333,-0.08974358974358976,0.010774686306601194,0.8421052631578947,0.8397435897435898,0.0,0.0,0.0,0.0,0.11764705882352944,0.012311901504787975,1.0,1.0,0.9240506329113924,0.9140350877192982,0.968421052631579,0.8500000000000001,0.8095238095238095,0.8947368421052632,0.8687412111723665,0.5888888888888889,1.0,0.775,1.0,LogisticRegression
0,0.0,0.0,0.0,0.0,0.11764705882352944,0.046918767507002815,1.0,1.0,0.0,0.1111111111111111,0.0,0.07692307692307693,-0.02020202020202022,-0.020739307973350538,0.9523809523809523,0.9444444444444444,0.0,0.16666666666666666,0.0,0.07142857142857142,-0.09523809523809523,-0.05848861283643892,0.9473684210526315,0.9166666666666667,0.058823529411764705,0.0,0.3333333333333333,0.0,0.11111111111111116,0.08496732026143794,0.9473684210526315,0.9705882352941176,0.9620253164556962,0.9415254237288135,0.9669491525423728,0.9230769230769231,0.9473684210526315,0.9,0.9392531428900848,1.0,1.0000000000000002,0.9102564102564102,0.5833333333333333,LogisticRegression
0,0.0,0.0,0.0,0.0,0.11764705882352944,0.02393980848153216,1.0,1.0,0.0,0.1111111111111111,0.0,0.07692307692307693,-0.02020202020202022,-0.042015903718031385,0.9523809523809523,0.9444444444444444,0.23076923076923078,0.16666666666666666,0.375,0.09090909090909091,-0.09523809523809523,0.06776556776556777,0.7894736842105263,0.8012820512820513,0.0,0.0,0.0,0.0,0.11111111111111116,0.018970189701897046,1.0,1.0,0.9367088607594937,0.9245762711864407,0.978813559322034,0.8780487804878048,0.8571428571428571,0.9,0.9455960012210016,1.0,0.9888888888888892,0.8857142857142857,1.0,LogisticRegression
0,0.0,0.5,0.0,0.058823529411764705,-0.38235294117647056,-0.20280437756497946,0.9444444444444444,0.75,0.08333333333333333,0.125,0.125,0.08333333333333333,0.05681818181818177,0.07007575757575754,0.9,0.8958333333333333,0.0,0.14285714285714285,0.0,0.07142857142857142,0.023809523809523725,0.0010351966873705584,0.95,0.9285714285714286,0.0,0.0,0.0,0.0,0.17647058823529416,0.07604017216642757,1.0,1.0,0.9487179487179487,0.9125780553077609,0.9491525423728814,0.8888888888888888,0.9411764705882353,0.8421052631578947,0.8725260299950701,0.6428571428571428,0.9115936147186148,0.9340659340659339,1.0,LogisticRegression
