,FPR Asian,FNR Asian,FDR Asian,FOM Asian,EqualOppP Asian,EquOdds Asian,Accuracy Asian,Balanced Accuracy Asian,FPR Black,FNR Black,FDR Black,FOM Black,EqualOppP Black,EquOdds Black,Accuracy Black,Balanced Accuracy Black,FPR Hispanic,FNR Hispanic,FDR Hispanic,FOM Hispanic,EqualOppP Hispanic,EquOdds Hispanic,Accuracy Hispanic,Balanced Accuracy Hispanic,FPR White,FNR White,FDR White,FOM White,EqualOppP White,EquOdds White,Accuracy White,Balanced Accuracy White,Accuracy,Balanced Accuracy,AUC,f1,precision,recall,AP,FPR,FNR,AP Asian,AP Black,AP Hispanic,AP White,Feature_Set
0,0.0,0.0,0.0,0.0,0.05882352941176472,0.006155950752393988,1.0,1.0,0.07692307692307693,0.0,0.1111111111111111,0.0,0.09090909090909094,0.0732777860437435,0.9523809523809523,0.9615384615384616,0.0,0.0,0.0,0.0,0.08333333333333337,0.020390070921985835,1.0,1.0,0.058823529411764705,0.5,0.5,0.058823529411764705,-0.5,-0.23221614227086185,0.8947368421052632,0.7205882352941176,0.9620253164556962,0.9570175438596491,0.9921052631578947,0.9230769230769231,0.9,0.9473684210526315,0.9756341934910451,0.03333333333333333,0.05263157894736842,1.0,0.9861111111111112,0.9999999999999998,0.8333333333333333,Ttest features with all ethnicities
0,0.0,0.0,0.0,0.0,0.125,0.027616279069767442,1.0,1.0,0.07692307692307693,0.0,0.1111111111111111,0.0,0.18181818181818177,0.1080940336259485,0.9523809523809523,0.9615384615384616,0.15384615384615385,0.3333333333333333,0.3333333333333333,0.15384615384615385,-0.33333333333333337,-0.10038188761593018,0.7894736842105263,0.7564102564102564,0.0,0.0,0.0,0.0,0.11764705882352944,0.02393980848153216,1.0,1.0,0.9367088607594937,0.9223684210526315,0.9333333333333333,0.8717948717948718,0.85,0.8947368421052632,0.8811549208852452,0.05,0.10526315789473684,1.0,0.8755456349206349,0.8027777777777777,1.0,Ttest features with all ethnicities
0,0.058823529411764705,0.6666666666666666,0.5,0.1111111111111111,-0.49019607843137253,-0.22759103641456582,0.85,0.6372549019607843,0.08333333333333333,0.2222222222222222,0.125,0.15384615384615385,0.0505050505050505,0.056280894046851486,0.8571428571428571,0.8472222222222222,0.0,0.16666666666666666,0.0,0.07142857142857142,0.11904761904761907,0.037784679089026926,0.9473684210526315,0.9166666666666667,0.0,0.0,0.0,0.0,0.2777777777777778,0.11507936507936509,1.0,1.0,0.9113924050632911,0.8580508474576272,0.9398305084745763,0.8108108108108107,0.8823529411764706,0.75,0.8909950743543342,0.03389830508474576,0.25,0.6555555555555554,0.9252525252525254,0.976190476190476,1.0,Ttest features with all ethnicities
0,0.1875,0.0,0.5,0.0,0.05882352941176472,0.0882780437756498,0.8421052631578947,0.90625,0.0,0.0,0.0,0.0,0.09090909090909094,-0.01837524177949708,1.0,1.0,0.23076923076923078,0.16666666666666666,0.375,0.09090909090909091,-0.16666666666666663,-0.0005574136008918429,0.7894736842105263,0.8012820512820513,0.0,0.0,0.0,0.0,0.05555555555555558,-0.04539295392953928,1.0,1.0,0.9113924050632911,0.9241525423728814,0.955084745762712,0.8444444444444444,0.76,0.95,0.8093170906606224,0.1016949152542373,0.05,1.0,1.0,0.6265262515262516,1.0,Ttest features with all ethnicities
0,0.0,0.0,0.0,0.0,0.05882352941176472,-0.017099863201094384,1.0,1.0,0.0,0.125,0.0,0.07692307692307693,-0.125,-0.10505319148936171,0.95,0.9375,0.3076923076923077,0.0,0.36363636363636365,0.0,0.08333333333333337,0.19551282051282054,0.8,0.8461538461538461,0.0,0.0,0.0,0.0,0.05882352941176472,-0.01936872309899569,1.0,1.0,0.9358974358974359,0.93978590544157,0.9884032114183765,0.8780487804878049,0.8181818181818182,0.9473684210526315,0.9655276672072337,0.06779661016949153,0.05263157894736842,1.0,1.0,0.9379251700680272,1.0,Ttest features with all ethnicities
0,0.11764705882352941,0.5,0.6666666666666666,0.0625,-0.38235294117647056,-0.16723666210670313,0.8421052631578947,0.6911764705882353,0.07692307692307693,0.125,0.125,0.07692307692307693,0.05681818181818177,0.024317437881267646,0.9047619047619048,0.8990384615384616,0.15384615384615385,0.0,0.2222222222222222,0.0,0.25,0.17000818330605566,0.9,0.9230769230769231,0.0,0.5,0.0,0.05555555555555555,-0.38235294117647056,-0.2493160054719562,0.9473684210526315,0.75,0.8987341772151899,0.8793859649122806,0.9605263157894737,0.8,0.7619047619047619,0.8421052631578947,0.805266995887413,0.08333333333333333,0.15789473684210525,0.5,0.9704861111111112,0.754591836734694,1.0,Ttest features with all ethnicities
0,0.11764705882352941,0.3333333333333333,0.5,0.0625,-0.27083333333333337,-0.12310476516187872,0.85,0.7745098039215685,0.07692307692307693,0.0,0.1111111111111111,0.0,0.18181818181818177,0.07617914000892723,0.9523809523809523,0.9615384615384616,0.23076923076923078,0.16666666666666666,0.375,0.09090909090909091,-0.08974358974358976,0.038597926895799245,0.7894736842105263,0.8012820512820513,0.0,0.0,0.0,0.0,0.11764705882352944,-0.010943912448700396,1.0,1.0,0.8987341772151899,0.8973684210526316,0.9640350877192982,0.8095238095238095,0.7391304347826086,0.8947368421052632,0.8472757828957926,0.1,0.10526315789473684,0.5888888888888889,1.0,0.6916666666666667,1.0,Ttest features with all ethnicities
0,0.0,0.0,0.0,0.0,0.23529411764705888,0.10574229691876753,1.0,1.0,0.0,0.2222222222222222,0.0,0.14285714285714285,-0.04040404040404044,-0.030840318074360648,0.9047619047619048,0.8888888888888888,0.0,0.16666666666666666,0.0,0.07142857142857142,0.04761904761904767,0.012939958592132532,0.9473684210526315,0.9166666666666667,0.058823529411764705,0.5,0.5,0.058823529411764705,-0.33333333333333337,-0.13725490196078433,0.8947368421052632,0.7205882352941176,0.9367088607594937,0.8915254237288136,0.9559322033898304,0.8648648648648648,0.9411764705882353,0.8,0.944504320284119,0.01694915254237288,0.2,1.0,1.0,0.8958333333333334,0.8333333333333333,Ttest features with all ethnicities
0,0.0625,0.0,0.25,0.0,0.11764705882352944,0.043561901504787975,0.9473684210526315,0.96875,0.0,0.1111111111111111,0.0,0.07692307692307693,-0.02020202020202022,-0.06329249946271223,0.9523809523809523,0.9444444444444444,0.3076923076923077,0.16666666666666666,0.4444444444444444,0.1,-0.09523809523809523,0.09535754100971494,0.7368421052631579,0.7628205128205128,0.0,0.0,0.0,0.0,0.11111111111111116,-0.005420054200541979,1.0,1.0,0.9113924050632911,0.9076271186440679,0.9457627118644069,0.8372093023255814,0.782608695652174,0.9,0.9162207468457471,0.0847457627118644,0.1,1.0,0.9415204678362574,0.8964646464646464,1.0,Ttest features with all ethnicities
0,0.0,0.5,0.0,0.058823529411764705,-0.38235294117647056,-0.20280437756497946,0.9444444444444444,0.75,0.08333333333333333,0.125,0.125,0.08333333333333333,0.05681818181818177,0.07007575757575754,0.9,0.8958333333333333,0.0,0.14285714285714285,0.0,0.07142857142857142,0.023809523809523725,0.0010351966873705584,0.95,0.9285714285714286,0.0,0.0,0.0,0.0,0.17647058823529416,0.07604017216642757,1.0,1.0,0.9487179487179487,0.9125780553077609,0.951828724353256,0.8888888888888888,0.9411764705882353,0.8421052631578947,0.8870399560879437,0.01694915254237288,0.15789473684210525,0.6666666666666666,0.932426948051948,0.9682539682539681,1.0,Ttest features with all ethnicities
