,FPR Asian,FNR Asian,FDR Asian,FOM Asian,EqualOppP Asian,EquOdds Asian,Accuracy Asian,Balanced Accuracy Asian,FPR Black,FNR Black,FDR Black,FOM Black,EqualOppP Black,EquOdds Black,Accuracy Black,Balanced Accuracy Black,FPR Hispanic,FNR Hispanic,FDR Hispanic,FOM Hispanic,EqualOppP Hispanic,EquOdds Hispanic,Accuracy Hispanic,Balanced Accuracy Hispanic,FPR White,FNR White,FDR White,FOM White,EqualOppP White,EquOdds White,Accuracy White,Balanced Accuracy White,Accuracy,Balanced Accuracy,AUC,f1,precision,recall,AP,AP Asian,AP Black,AP Hispanic,AP White,Race
0,0.0,0.0,0.0,0.0,0.05882352941176472,0.006155950752393988,1.0,1.0,0.07692307692307693,0.0,0.1111111111111111,0.0,0.09090909090909094,0.0732777860437435,0.9523809523809523,0.9615384615384616,0.0,0.0,0.0,0.0,0.08333333333333337,0.020390070921985835,1.0,1.0,0.058823529411764705,0.5,0.5,0.058823529411764705,-0.5,-0.23221614227086185,0.8947368421052632,0.7205882352941176,0.9620253164556962,0.9570175438596491,0.9710526315789474,0.9230769230769231,0.9,0.9473684210526315,0.8250161642894249,1.0,0.7713789682539682,0.9999999999999998,0.45,Asian
0,0.0,0.3333333333333333,0.0,0.05555555555555555,-0.20833333333333337,-0.13905038759689925,0.95,0.8333333333333333,0.07692307692307693,0.0,0.1111111111111111,0.0,0.2727272727272727,0.15354857908049396,0.9523809523809523,0.9615384615384616,0.07692307692307693,0.3333333333333333,0.2,0.14285714285714285,-0.2564102564102565,-0.11102018548827064,0.8421052631578947,0.7948717948717949,0.058823529411764705,0.0,0.3333333333333333,0.0,0.17647058823529416,0.09439124487004105,0.9473684210526315,0.9705882352941176,0.9240506329113924,0.8960526315789473,0.9605263157894737,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.9035442274850778,1.0,0.9067956349206349,0.8541666666666665,1.0,Asian
0,0.058823529411764705,0.6666666666666666,0.5,0.1111111111111111,-0.49019607843137253,-0.22759103641456582,0.85,0.6372549019607843,0.08333333333333333,0.2222222222222222,0.125,0.15384615384615385,0.0505050505050505,0.056280894046851486,0.8571428571428571,0.8472222222222222,0.0,0.16666666666666666,0.0,0.07142857142857142,0.11904761904761907,0.037784679089026926,0.9473684210526315,0.9166666666666667,0.0,0.0,0.0,0.0,0.2777777777777778,0.11507936507936509,1.0,1.0,0.9113924050632911,0.8580508474576272,0.9279661016949151,0.8108108108108107,0.8823529411764706,0.75,0.9006331168831172,0.5625,0.9300144300144302,1.0,1.0,Asian
0,0.0,0.3333333333333333,0.0,0.058823529411764705,-0.21568627450980393,-0.13109895120839032,0.9473684210526315,0.8333333333333333,0.0,0.1111111111111111,0.0,0.07692307692307693,0.07070707070707061,0.014076939608854453,0.9523809523809523,0.9444444444444444,0.15384615384615385,0.16666666666666666,0.2857142857142857,0.08333333333333333,-0.023809523809523725,0.06501831501831506,0.8421052631578947,0.8397435897435898,0.0,0.0,0.0,0.0,0.16666666666666663,0.05894308943089429,1.0,1.0,0.9367088607594937,0.9080508474576271,0.9483050847457627,0.8717948717948718,0.8947368421052632,0.85,0.8832930101360517,1.0,1.0,0.7375,1.0,Asian
0,0.0625,0.0,0.3333333333333333,0.0,0.05882352941176472,0.03740595075239399,0.9444444444444444,0.96875,0.0,0.125,0.0,0.07692307692307693,-0.125,-0.09441489361702127,0.95,0.9375,0.15384615384615385,0.0,0.2222222222222222,0.0,0.08333333333333337,0.10772017837235232,0.9,0.9230769230769231,0.0,0.0,0.0,0.0,0.05882352941176472,-0.007173601147776175,1.0,1.0,0.9487179487179487,0.9482604817127565,0.9875111507582516,0.9,0.8571428571428571,0.9473684210526315,0.9604559292028736,1.0,1.0,0.9087301587301586,1.0,Asian
0,0.058823529411764705,0.5,0.5,0.058823529411764705,-0.38235294117647056,-0.1850205198358413,0.8947368421052632,0.7205882352941176,0.07692307692307693,0.125,0.125,0.07692307692307693,0.05681818181818177,0.045594033625948494,0.9047619047619048,0.8990384615384616,0.07692307692307693,0.14285714285714285,0.14285714285714285,0.07692307692307693,0.023809523809523725,0.029089704621619476,0.9,0.8901098901098901,0.0,0.0,0.0,0.0,0.17647058823529416,0.05335157318741452,1.0,1.0,0.9240506329113924,0.8960526315789473,0.9701754385964911,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.8265980742231354,0.5,0.9861111111111112,0.754591836734694,1.0,Asian
0,0.058823529411764705,0.6666666666666666,0.5,0.1111111111111111,-0.6041666666666667,-0.29592738258093937,0.85,0.6372549019607843,0.07692307692307693,0.0,0.1111111111111111,0.0,0.2727272727272727,0.15354857908049396,0.9523809523809523,0.9615384615384616,0.07692307692307693,0.16666666666666666,0.16666666666666666,0.07692307692307693,-0.012820512820512775,0.010774686306601226,0.8947368421052632,0.8782051282051282,0.0,0.0,0.0,0.0,0.17647058823529416,0.05335157318741452,1.0,1.0,0.9240506329113924,0.8960526315789473,0.9666666666666667,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.9018966453348292,0.4666666666666667,0.9861111111111112,0.7861111111111111,1.0,Asian
0,0.0,0.3333333333333333,0.0,0.05555555555555555,-0.1568627450980392,-0.09033613445378151,0.95,0.8333333333333333,0.0,0.1111111111111111,0.0,0.07692307692307693,0.16161616161616155,0.07016978293574035,0.9523809523809523,0.9444444444444444,0.0,0.16666666666666666,0.0,0.07142857142857142,0.04761904761904767,0.012939958592132532,0.9473684210526315,0.9166666666666667,0.058823529411764705,0.5,0.5,0.058823529411764705,-0.33333333333333337,-0.13725490196078433,0.8947368421052632,0.7205882352941176,0.9367088607594937,0.8915254237288136,0.9466101694915253,0.8648648648648648,0.9411764705882353,0.8,0.9401911334709323,1.0,1.0,0.8888888888888888,0.8333333333333333,Asian
0,0.0,0.6666666666666666,0.0,0.1111111111111111,-0.3725490196078432,-0.22115823073415417,0.8947368421052632,0.6666666666666666,0.0,0.3333333333333333,0.0,0.2,0.030303030303030276,-0.016763378465506136,0.8571428571428571,0.8333333333333333,0.23076923076923078,0.3333333333333333,0.42857142857142855,0.16666666666666666,0.023809523809523725,0.12728937728937725,0.7368421052631579,0.717948717948718,0.0,0.0,0.0,0.0,0.38888888888888884,0.15785907859078588,1.0,1.0,0.8734177215189873,0.7995762711864407,0.9457627118644067,0.7222222222222223,0.8125,0.65,0.8621491784359434,0.9166666666666665,0.9603174603174605,0.7787397787397787,1.0,Asian
0,0.0,0.5,0.0,0.058823529411764705,-0.32352941176470584,-0.1733926128590971,0.9444444444444444,0.75,0.08333333333333333,0.125,0.125,0.08333333333333333,0.1477272727272727,0.11553030303030301,0.9,0.8958333333333333,0.0,0.2857142857142857,0.0,0.13333333333333333,-0.11904761904761907,-0.07039337474120083,0.9,0.8571428571428572,0.0,0.0,0.0,0.0,0.23529411764705888,0.10545193687230993,1.0,1.0,0.9358974358974359,0.8862622658340767,0.935771632471008,0.8571428571428572,0.9375,0.7894736842105263,0.8632597703010045,0.6,0.8865936147186148,0.9571428571428571,1.0,Asian
0,0.058823529411764705,0.5,0.5,0.058823529411764705,-0.2647058823529411,-0.13782489740082077,0.8947368421052632,0.7205882352941176,0.15384615384615385,0.25,0.25,0.15384615384615385,0.022727272727272707,0.06701011754203243,0.8095238095238095,0.7980769230769231,0.07692307692307693,0.2857142857142857,0.16666666666666666,0.14285714285714285,-0.0357142857142857,-0.01131049801262566,0.85,0.8186813186813187,0.0,0.0,0.0,0.0,0.2941176470588235,0.100547195622435,1.0,1.0,0.8860759493670886,0.8350877192982455,0.8771929824561403,0.7567567567567567,0.7777777777777778,0.7368421052631579,0.720915218307727,0.8333333333333333,0.6939484126984127,0.8174603174603174,1.0,Asian
0,0.0,0.6666666666666666,0.0,0.10526315789473684,-0.6041666666666667,-0.32533914728682173,0.9,0.6666666666666666,0.0,0.125,0.0,0.07142857142857142,0.05681818181818177,0.007132495164410033,0.9523809523809523,0.9375,0.15384615384615385,0.0,0.25,0.0,0.23076923076923073,0.1923076923076923,0.8947368421052632,0.9230769230769231,0.0,0.0,0.0,0.0,0.17647058823529416,0.0649794801641587,1.0,1.0,0.9367088607594937,0.9043859649122807,0.9710526315789474,0.8648648648648649,0.8888888888888888,0.8421052631578947,0.9223537965573976,0.8666666666666667,0.9583333333333333,0.8,1.0,Asian
0,0.058823529411764705,0.6666666666666666,0.5,0.1111111111111111,-0.5490196078431373,-0.2450980392156863,0.85,0.6372549019607843,0.0,0.1111111111111111,0.0,0.07692307692307693,0.16161616161616155,0.07016978293574035,0.9523809523809523,0.9444444444444444,0.0,0.16666666666666666,0.0,0.07142857142857142,0.04761904761904767,0.012939958592132532,0.9473684210526315,0.9166666666666667,0.0,0.0,0.0,0.0,0.2222222222222222,0.0992063492063492,1.0,1.0,0.9367088607594937,0.8915254237288136,0.9466101694915254,0.8648648648648648,0.9411764705882353,0.8,0.9371181158023263,0.626984126984127,1.0,0.9444444444444444,1.0,Asian
0,0.0625,0.3333333333333333,0.3333333333333333,0.0625,-0.27450980392156865,-0.1408886228910169,0.8947368421052632,0.8020833333333333,0.08333333333333333,0.0,0.1,0.0,0.18181818181818177,0.10066086395873627,0.9523809523809523,0.9583333333333333,0.07692307692307693,0.16666666666666666,0.16666666666666666,0.07692307692307693,-0.09523809523809523,-0.041766204809683065,0.8947368421052632,0.8782051282051282,0.05555555555555555,0.0,0.3333333333333333,0.0,0.11111111111111116,0.04674796747967482,0.95,0.9722222222222222,0.9240506329113924,0.9161016949152543,0.9669491525423728,0.8571428571428572,0.8181818181818182,0.9,0.9415397843534581,0.7555555555555555,0.9888888888888889,0.9333333333333332,1.0,Asian
0,0.0,1.0,0.0,0.1111111111111111,-0.8823529411764706,-0.46443228454172364,0.8888888888888888,0.5,0.08333333333333333,0.125,0.125,0.08333333333333333,0.1477272727272727,0.1048920051579626,0.9,0.8958333333333333,0.07692307692307693,0.14285714285714285,0.14285714285714285,0.07692307692307693,0.1071428571428571,0.08116340181557571,0.9,0.8901098901098901,0.0,0.0,0.0,0.0,0.23529411764705888,0.09325681492109042,1.0,1.0,0.9230769230769231,0.8777876895628902,0.9857270294380017,0.8333333333333333,0.8823529411764706,0.7894736842105263,0.9485866581230762,1.0,0.9317956349206349,0.9821428571428572,1.0,Asian
0,0.058823529411764705,0.5,0.5,0.058823529411764705,-0.38235294117647056,-0.20827633378932967,0.8947368421052632,0.7205882352941176,0.07692307692307693,0.125,0.125,0.07692307692307693,0.05681818181818177,0.024317437881267646,0.9047619047619048,0.8990384615384616,0.23076923076923078,0.14285714285714285,0.3333333333333333,0.09090909090909091,0.023809523809523725,0.1060127815446964,0.8,0.8131868131868132,0.0,0.0,0.0,0.0,0.17647058823529416,0.03009575923392615,1.0,1.0,0.8987341772151899,0.8793859649122806,0.9412280701754386,0.8,0.7619047619047619,0.8421052631578947,0.7614011074924387,0.8333333333333333,0.7602678571428572,0.9136577708006279,1.0,Asian
0,0.0,0.6666666666666666,0.0,0.10526315789473684,-0.5416666666666667,-0.30571705426356593,0.9,0.6666666666666666,0.0,0.125,0.0,0.07142857142857142,0.1477272727272727,0.04194874274661508,0.9523809523809523,0.9375,0.15384615384615385,0.16666666666666666,0.2857142857142857,0.08333333333333333,0.0641025641025641,0.09833606110201855,0.8421052631578947,0.8397435897435898,0.058823529411764705,0.0,0.3333333333333333,0.0,0.23529411764705888,0.12380300957592341,0.9473684210526315,0.9705882352941176,0.9113924050632911,0.8697368421052631,0.9228070175438596,0.8108108108108109,0.8333333333333334,0.7894736842105263,0.8595074386804874,0.5666666666666667,1.0,0.8690476190476191,1.0,Asian
0,0.0,0.3333333333333333,0.0,0.05555555555555555,-0.1568627450980392,-0.0784313725490196,0.95,0.8333333333333333,0.0,0.1111111111111111,0.0,0.07692307692307693,0.16161616161616155,0.08080808080808077,0.9523809523809523,0.9444444444444444,0.0,0.3333333333333333,0.0,0.13333333333333333,-0.19047619047619047,-0.09523809523809523,0.8947368421052632,0.8333333333333333,0.0,0.0,0.0,0.0,0.2222222222222222,0.1111111111111111,1.0,1.0,0.9493670886075949,0.9,0.9491525423728814,0.888888888888889,1.0,0.8,0.9275007970667943,0.9166666666666665,0.9888888888888889,0.8617424242424241,1.0,Asian
0,0.0,0.3333333333333333,0.0,0.058823529411764705,-0.21568627450980393,-0.13109895120839032,0.9473684210526315,0.8333333333333333,0.08333333333333333,0.1111111111111111,0.1111111111111111,0.08333333333333333,0.07070707070707061,0.06638190414786155,0.9047619047619048,0.9027777777777777,0.07692307692307693,0.16666666666666666,0.16666666666666666,0.07692307692307693,-0.023809523809523725,0.015687211339385297,0.8947368421052632,0.8782051282051282,0.0,0.0,0.0,0.0,0.16666666666666663,0.05894308943089429,1.0,1.0,0.9367088607594937,0.9080508474576271,0.9923728813559322,0.8717948717948718,0.8947368421052632,0.85,0.9768486864442749,1.0,0.9888888888888889,0.9484126984126984,1.0,Asian
0,0.0,0.0,0.0,0.0,0.05882352941176472,0.006155950752393988,1.0,1.0,0.08333333333333333,0.125,0.125,0.08333333333333333,-0.125,-0.03147163120567376,0.9,0.8958333333333333,0.0,0.0,0.0,0.0,0.08333333333333337,0.019927536231884077,1.0,1.0,0.05555555555555555,0.0,0.3333333333333333,0.0,0.05882352941176472,0.04499442053244063,0.95,0.9722222222222222,0.9615384615384616,0.9567350579839429,0.9759143621766281,0.9230769230769231,0.9,0.9473684210526315,0.9382636692784156,1.0,0.9427083333333333,0.9999999999999998,1.0,Asian
0,0.0,0.5,0.0,0.05555555555555555,-0.32352941176470584,-0.1966484268125855,0.9473684210526315,0.75,0.15384615384615385,0.25,0.25,0.15384615384615385,-0.06818181818181823,0.032193869959827384,0.8095238095238095,0.7980769230769231,0.07692307692307693,0.14285714285714285,0.14285714285714285,0.07692307692307693,0.1071428571428571,0.07075637128828616,0.9,0.8901098901098901,0.0,0.0,0.0,0.0,0.23529411764705888,0.08276333789329687,1.0,1.0,0.9113924050632911,0.8697368421052631,0.9254385964912281,0.8108108108108109,0.8333333333333334,0.7894736842105263,0.6824787870409734,1.0,0.6336670274170274,0.7010204081632653,1.0,Asian
0,0.11764705882352941,0.3333333333333333,0.5,0.0625,-0.33333333333333337,-0.13109895120839035,0.85,0.7745098039215685,0.0,0.0,0.0,0.0,0.09090909090909094,0.0029013539651837686,1.0,1.0,0.0,0.0,0.0,0.0,0.07692307692307687,-0.004091653027823265,1.0,1.0,0.11764705882352941,0.0,0.5,0.0,0.05882352941176472,0.06497948016415869,0.8947368421052632,0.9411764705882353,0.9367088607594937,0.9403508771929825,0.9728070175438597,0.8780487804878049,0.8181818181818182,0.9473684210526315,0.8785999096426802,0.7222222222222222,1.0,1.0,1.0,Asian
0,0.0,0.6666666666666666,0.0,0.10526315789473684,-0.5490196078431373,-0.28641456582633057,0.9,0.6666666666666666,0.08333333333333333,0.1111111111111111,0.1111111111111111,0.08333333333333333,0.16161616161616155,0.12247474747474743,0.9047619047619048,0.9027777777777777,0.0,0.16666666666666666,0.0,0.07142857142857142,0.04761904761904767,0.012939958592132532,0.9473684210526315,0.9166666666666667,0.0,0.0,0.0,0.0,0.2222222222222222,0.0992063492063492,1.0,1.0,0.9367088607594937,0.8915254237288136,0.9161016949152542,0.8648648648648648,0.9411764705882353,0.8,0.896071796667385,0.7777777777777777,0.9467813051146385,0.8958333333333334,1.0,Asian
0,0.0,0.3333333333333333,0.0,0.058823529411764705,-0.1568627450980392,-0.10168718650250798,0.9473684210526315,0.8333333333333333,0.0,0.1111111111111111,0.0,0.07692307692307693,0.16161616161616155,0.05953148506339992,0.9523809523809523,0.9444444444444444,0.07692307692307693,0.16666666666666666,0.16666666666666666,0.07692307692307693,0.04761904761904767,0.051401497053670996,0.8947368421052632,0.8782051282051282,0.05555555555555555,0.5,0.5,0.05555555555555555,-0.33333333333333337,-0.15108401084010842,0.9,0.7222222222222222,0.9240506329113924,0.8830508474576271,0.95,0.8421052631578948,0.8888888888888888,0.8,0.878234553544151,1.0,0.9658119658119659,0.7583333333333333,0.8333333333333333,Asian
0,0.125,0.5,0.6666666666666666,0.06666666666666667,-0.38235294117647056,-0.14030437756497946,0.8333333333333334,0.6875,0.0,0.0,0.0,0.0,0.2727272727272727,0.10444874274661509,1.0,1.0,0.07692307692307693,0.2857142857142857,0.16666666666666666,0.14285714285714285,-0.20238095238095233,-0.08446806816372031,0.85,0.8186813186813187,0.0,0.0,0.0,0.0,0.17647058823529416,0.051649928263988544,1.0,1.0,0.9230769230769231,0.8956289027653881,0.9776984834968777,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.958270676691729,0.75,1.0,0.9367346938775509,1.0,Asian
0,0.058823529411764705,0.0,0.3333333333333333,0.0,0.17647058823529416,0.10601915184678525,0.9473684210526315,0.9705882352941176,0.0,0.125,0.0,0.07142857142857142,0.05681818181818177,0.007132495164410033,0.9523809523809523,0.9375,0.07692307692307693,0.2857142857142857,0.16666666666666666,0.14285714285714285,-0.20238095238095233,-0.07336723560127813,0.85,0.8186813186813187,0.0,0.0,0.0,0.0,0.17647058823529416,0.0649794801641587,1.0,1.0,0.9367088607594937,0.9043859649122807,0.9701754385964911,0.8648648648648649,0.8888888888888888,0.8421052631578947,0.8676783313006222,0.8333333333333333,0.9861111111111112,0.8260204081632654,1.0,Asian
